TOV_POS,TT100,TT101,TT102,TT103,TT104,TT105,TT106,TT108,TT109,TT110,TT112,TT119,TT120,TT121,TT122,TT123,TT124,TT125,TT126,TT210,TT212,GEN_POT_ATT_KW,GEN_TENSIONE,CPT104,CPT105,DPT113,IC113,ST102,XT101,TT127,TT128,TT129,TT130,FCV134,TOVSPOS,TOFS,XT100,PT212,Fault
99.927,295.371,252.969,279.333,51.999,92.212,25.198,271.247,258.553,201.899,236.017,94.222,132.084,60.953,64.052,74.391,64.224,67.566,64.59,47.956,54.698,62.551,893.987,666.488,10.047,0.29,2802.232,887.184,3007.715,0.076,116.731,242.081,208.682,174.434,100.0,95.109,1000.0,0.595,331.14,0
99.927,294.986,252.777,279.073,51.782,92.198,23.889,270.824,258.295,201.724,235.667,94.102,131.983,59.812,63.021,73.301,62.33,65.591,62.647,48.02,53.613,61.31,889.048,668.294,10.0,0.289,2801.852,884.555,3007.815,0.077,116.966,242.368,209.243,173.906,100.0,95.029,1000.0,0.587,330.705,0
99.952,289.631,250.222,275.318,52.861,92.356,23.35,265.807,254.272,198.845,231.111,93.54,130.452,58.035,62.045,72.64,57.627,60.657,57.768,48.099,52.673,59.5,808.998,668.334,9.401,0.288,2802.542,853.207,3006.191,0.073,119.588,238.46,210.008,169.848,100.0,95.009,1000.0,0.571,330.524,0
99.913,292.938,251.777,277.634,52.562,91.972,22.669,269.07,256.688,200.42,233.946,93.746,131.307,58.215,62.14,72.192,60.025,63.188,60.273,48.43,52.412,59.772,858.572,670.061,9.767,0.288,2802.865,871.629,3007.064,0.077,117.727,239.984,208.684,171.589,100.0,95.04,1000.0,0.594,330.216,0
99.944,294.787,252.78,278.998,52.21,92.421,22.419,270.382,257.953,201.416,235.367,94.155,131.931,58.311,61.944,72.027,59.965,63.141,60.255,47.31,52.53,60.025,879.69,669.882,9.955,0.291,2802.362,882.273,3007.641,0.08,117.29,241.789,209.33,172.719,100.0,95.077,1000.0,0.605,330.567,0
99.966,299.253,254.861,281.973,52.206,92.375,24.05,273.893,260.952,203.955,239.05,94.77,133.258,60.58,63.238,73.112,63.937,67.253,64.327,48.356,54.522,62.611,940.555,671.337,10.445,0.296,2796.643,905.612,3008.015,0.086,115.98,246.065,209.305,175.933,100.0,94.889,1000.0,0.622,330.831,0
99.937,301.405,256.032,283.606,56.312,92.398,31.514,276.116,262.32,205.492,240.963,95.87,134.865,67.389,68.387,78.41,72.046,75.455,72.522,47.047,60.838,69.904,956.263,668.958,10.667,0.306,2803.362,919.317,3008.218,0.08,116.142,247.647,209.348,178.951,100.0,94.966,1000.0,0.545,333.384,0
99.935,295.616,253.278,279.655,56.38,92.08,29.742,270.913,258.269,202.086,235.944,94.536,132.59,64.325,66.717,77.148,66.314,69.444,66.596,48.263,58.182,66.426,882.964,664.727,10.029,0.296,2803.323,886.544,3007.347,0.073,117.592,243.269,209.944,174.926,100.0,95.076,1000.0,0.522,332.986,0
99.954,292.268,251.451,277.272,56.564,90.991,29.648,268.159,255.976,199.516,233.257,93.347,130.96,63.253,66.494,76.701,65.148,68.197,65.341,50.619,56.735,64.924,850.522,666.612,9.692,0.286,2801.959,868.445,3007.129,0.069,118.108,236.301,206.837,172.65,100.0,94.942,1000.0,0.515,333.165,0
99.991,293.051,251.845,277.734,55.152,91.04,29.633,268.566,256.527,200.42,233.84,93.167,130.934,63.501,66.598,76.964,65.881,68.992,66.103,51.642,56.553,64.915,863.75,665.426,9.778,0.285,2801.88,873.287,3007.31,0.069,118.62,241.718,211.224,172.775,100.0,95.064,1000.0,0.513,332.634,0
99.929,297.923,254.377,281.116,55.259,92.5,27.766,272.611,259.971,203.846,238.027,94.913,133.389,62.979,65.466,75.576,65.89,69.016,66.119,52.239,56.185,64.791,915.351,666.28,10.292,0.298,2803.134,900.646,3008.365,0.076,118.147,248.751,214.017,175.956,100.0,94.958,1000.0,0.545,332.844,0
99.806,298.13,254.574,281.355,54.62,92.56,23.098,272.882,260.15,204.029,238.262,95.077,133.487,58.5,61.851,71.503,60.28,63.365,60.505,47.974,52.206,60.361,913.314,670.286,10.295,0.3,2801.56,898.557,3007.549,0.085,118.185,249.054,214.024,174.589,100.0,94.993,1000.0,0.597,330.896,0
